resource,resource_type,cluster_1
Anchor,relic,1.0
Bag of Preparation,relic,1.0
Bird Faced Urn,relic,1.0
Black Star,relic,1.0
Bottled Tornado,relic,1.0
Centennial Puzzle,relic,1.0
DataDisk,relic,1.0
Dodecahedron,relic,1.0
FossilizedHelix,relic,1.0
Gremlin Horn,relic,1.0
Inserter,relic,1.0
Kunai,relic,1.0
Letter Opener,relic,1.0
Matryoshka,relic,1.0
MawBank,relic,1.0
Meat on the Bone,relic,1.0
Mercury Hourglass,relic,1.0
Mummified Hand,relic,1.0
Nunchaku,relic,1.0
Pantograph,relic,1.0
Peace Pipe,relic,1.0
Pear,relic,1.0
Potion Belt,relic,1.0
Shuriken,relic,1.0
Smiling Mask,relic,1.0
Snecko Eye,relic,1.0
Sundial,relic,1.0
Tiny Chest,relic,1.0
Toxic Egg 2,relic,1.0
WarpedTongs,relic,1.0
Whetstone,relic,1.0
Aggregate,card,1.0
AscendersBane,card,1.0
Auto Shields,card,1.0
Beam Cell,card,1.0
Buffer,card,1.0
Chaos,card,1.0
Cold Snap,card,1.0
Compile Driver,card,1.0
Conserve Battery,card,1.0
Coolheaded,card,1.0
Core Surge,card,1.0
Defragment,card,1.0
Discovery,card,1.0
Dualcast,card,1.0
Fission,card,1.0
Fusion,card,1.0
Go for the Eyes,card,1.0
Hologram,card,1.0
Leap,card,1.0
Loop,card,1.0
Meteor Strike,card,1.0
Rainbow,card,1.0
Recycle,card,1.0
Redo,card,1.0
Self Repair,card,1.0
Sunder,card,1.0
Thunder Strike,card,1.0
Undo,card,1.0
Zap,card,1.0
