resource,resource_type,cluster_2
Bronze Scales,relic,1.0
Cracked Core,relic,1.0
Ginger,relic,1.0
Gremlin Horn,relic,1.0
Inserter,relic,1.0
Lantern,relic,1.0
Matryoshka,relic,1.0
Meat on the Bone,relic,1.0
Necronomicon,relic,1.0
NeowsBlessing,relic,1.0
Nuclear Battery,relic,1.0
Nunchaku,relic,1.0
Pear,relic,1.0
Potion Belt,relic,1.0
Symbiotic Virus,relic,1.0
Thread and Needle,relic,1.0
Toxic Egg 2,relic,1.0
Turnip,relic,1.0
Whetstone,relic,1.0
AscendersBane,card,1.0
Beam Cell,card,1.0
Biased Cognition,card,1.0
BootSequence,card,1.0
Compile Driver,card,1.0
Conserve Battery,card,1.0
Consume,card,1.0
Coolheaded,card,1.0
Defragment,card,1.0
Dualcast,card,1.0
Echo Form,card,1.0
Electrodynamics,card,1.0
Forethought,card,1.0
Genetic Algorithm,card,1.0
Heatsinks,card,1.0
Impatience,card,1.0
Madness,card,1.0
Meteor Strike,card,1.0
Multi-Cast,card,1.0
Necronomicurse,card,1.0
Reboot,card,1.0
Redo,card,1.0
Seek,card,1.0
Stack,card,1.0
Static Discharge,card,1.0
Storm,card,1.0
Sunder,card,1.0
Tempest,card,1.0
Thunder Strike,card,1.0
Turbo,card,1.0
Undo,card,1.0
Zap,card,1.0
