resource,resource_type,cluster_7
Arrowhead,relic,1.0
BargainBundle,relic,1.0
Bird Faced Urn,relic,1.0
Blue Doll,relic,1.0
Chemical X,relic,1.0
Counterbalance,relic,1.0
Dead Branch,relic,1.0
Enchiridion,relic,1.0
Golden Idol,relic,1.0
Lantern,relic,1.0
Mummified Hand,relic,1.0
Orichalcum,relic,1.0
PreservedInsect,relic,1.0
ReplayFunnel,relic,1.0
Ring of the Snake,relic,1.0
Runic Dome,relic,1.0
Shovel,relic,1.0
Simple Rune,relic,1.0
Snecko Eye,relic,1.0
Solar Panel,relic,1.0
Vajra,relic,1.0
All For One,card,1.0
Apotheosis,card,1.0
AscendersBane,card,1.0
BasicCrystalCard,card,1.0
Chaos,card,1.0
Chill,card,1.0
Consume,card,1.0
Coolheaded,card,1.0
Deadly Poison,card,1.0
Defragment,card,1.0
Discovery,card,1.0
Dualcast,card,1.0
Electrodynamics,card,1.0
FTL,card,1.0
Hello World,card,1.0
Hologram,card,1.0
Reboot,card,1.0
Reinforced Body,card,1.0
ReplaySort,card,1.0
Self Repair,card,1.0
Stack,card,1.0
Tempest,card,1.0
Time Bomb,card,1.0
Turbo,card,1.0
Undo,card,1.0
