resource,resource_type,cluster_8
Bag of Marbles,relic,1.0
Bag of Preparation,relic,1.0
Bird Faced Urn,relic,1.0
Black Star,relic,1.0
Bottled Lightning,relic,1.0
Bottled Tornado,relic,1.0
Bronze Scales,relic,1.0
Centennial Puzzle,relic,1.0
Cursed Key,relic,1.0
Darkstone Periapt,relic,1.0
Dead Branch,relic,1.0
Dream Catcher,relic,1.0
Du-Vu Doll,relic,1.0
Frozen Egg 2,relic,1.0
Gambling Chip,relic,1.0
Gremlin Horn,relic,1.0
Happy Flower,relic,1.0
Juzu Bracelet,relic,1.0
Kunai,relic,1.0
Lantern,relic,1.0
Letter Opener,relic,1.0
Lizard Tail,relic,1.0
Mango,relic,1.0
MawBank,relic,1.0
Mercury Hourglass,relic,1.0
Nunchaku,relic,1.0
Old Coin,relic,1.0
Omamori,relic,1.0
Orichalcum,relic,1.0
Ornamental Fan,relic,1.0
Pear,relic,1.0
Pen Nib,relic,1.0
Potion Belt,relic,1.0
PreservedInsect,relic,1.0
Question Card,relic,1.0
Red Mask,relic,1.0
Shovel,relic,1.0
Smiling Mask,relic,1.0
The Courier,relic,1.0
Toxic Egg 2,relic,1.0
Turnip,relic,1.0
Unceasing Top,relic,1.0
Vajra,relic,1.0
War Paint,relic,1.0
Whetstone,relic,1.0
WingedGreaves,relic,1.0
AscendersBane,card,1.0
Burst,card,1.0
Conserve Battery,card,1.0
Coolheaded,card,1.0
Decay,card,1.0
Defragment,card,1.0
Dual Wield,card,1.0
Footwork,card,1.0
Gash,card,1.0
Go for the Eyes,card,1.0
Grand Finale,card,1.0
Master of Strategy,card,1.0
Prepared,card,1.0
Thunderclap,card,1.0
True Grit,card,1.0
Writhe,card,1.0
