resource,resource_type,cluster_3
Ancient Tea Set,relic,1.0
Art of War,relic,1.0
Bag of Marbles,relic,1.0
Bird Faced Urn,relic,1.0
Bottled Lightning,relic,1.0
Calling Bell,relic,1.0
Cracked Core,relic,1.0
DataDisk,relic,1.0
Dead Branch,relic,1.0
Dodecahedron,relic,1.0
Du-Vu Doll,relic,1.0
Ice Cream,relic,1.0
Nilry's Codex,relic,1.0
Nunchaku,relic,1.0
Pantograph,relic,1.0
Peace Pipe,relic,1.0
Pocketwatch,relic,1.0
Prayer Wheel,relic,1.0
Sozu,relic,1.0
Sundial,relic,1.0
Torii,relic,1.0
Apotheosis,card,1.0
AscendersBane,card,1.0
Auto Shields,card,1.0
Capacitor,card,1.0
Clumsy,card,1.0
Conserve Battery,card,1.0
Coolheaded,card,1.0
Core Surge,card,1.0
Darkness,card,1.0
Double Energy,card,1.0
Doubt,card,1.0
Dualcast,card,1.0
Fission,card,1.0
Glacier,card,1.0
Heatsinks,card,1.0
Hologram,card,1.0
Hyperbeam,card,1.0
Leap,card,1.0
Loop,card,1.0
Magnetism,card,1.0
Parasite,card,1.0
Rainbow,card,1.0
Reinforced Body,card,1.0
Seek,card,1.0
Skim,card,1.0
Steam,card,1.0
Turbo,card,1.0
Violence,card,1.0
Writhe,card,1.0
Zap,card,1.0
