resource,resource_type,cluster_5
Anchor,relic,1.0
Ancient Tea Set,relic,1.0
Bag of Marbles,relic,1.0
Blood Vial,relic,1.0
Boot,relic,1.0
Bottled Lightning,relic,1.0
Bronze Scales,relic,1.0
Calipers,relic,1.0
ClockworkSouvenir,relic,1.0
Cracked Core,relic,1.0
DataDisk,relic,1.0
Dead Branch,relic,1.0
Dodecahedron,relic,1.0
Dream Catcher,relic,1.0
Emotion Chip,relic,1.0
Girya,relic,1.0
Gremlin Horn,relic,1.0
Happy Flower,relic,1.0
Kunai,relic,1.0
Lantern,relic,1.0
Mango,relic,1.0
Medical Kit,relic,1.0
Nunchaku,relic,1.0
Oddly Smooth Stone,relic,1.0
Old Coin,relic,1.0
Omamori,relic,1.0
Orichalcum,relic,1.0
Pear,relic,1.0
Pen Nib,relic,1.0
Prayer Wheel,relic,1.0
PreservedInsect,relic,1.0
Question Card,relic,1.0
Regal Pillow,relic,1.0
Runic Dome,relic,1.0
Singing Bowl,relic,1.0
Smiling Mask,relic,1.0
Sozu,relic,1.0
Strawberry,relic,1.0
Symbiotic Virus,relic,1.0
TheAbacus,relic,1.0
Tiny Chest,relic,1.0
Turnip,relic,1.0
Unceasing Top,relic,1.0
War Paint,relic,1.0
Whetstone,relic,1.0
WingedGreaves,relic,1.0
Aggregate,card,1.0
Anger,card,1.0
Armaments,card,1.0
AscendersBane,card,1.0
Ball Lightning,card,1.0
Calculated Gamble,card,1.0
Chrysalis,card,1.0
Concentrate,card,1.0
Dagger Spray,card,1.0
Defragment,card,1.0
Double Energy,card,1.0
Enlightenment,card,1.0
Escape Plan,card,1.0
Finesse,card,1.0
Gash,card,1.0
Havoc,card,1.0
Jack Of All Trades,card,1.0
Leg Sweep,card,1.0
Panacea,card,1.0
PanicButton,card,1.0
PiercingWail,card,1.0
Pommel Strike,card,1.0
Rainbow,card,1.0
Recycle,card,1.0
Seeing Red,card,1.0
Tempest,card,1.0
White Noise,card,1.0
