resource,resource_type,cluster_4
Ancient Tea Set,relic,1.0
Art of War,relic,1.0
Bag of Marbles,relic,1.0
Bird Faced Urn,relic,1.0
Black Star,relic,1.0
Blood Vial,relic,1.0
Boot,relic,1.0
Bottled Lightning,relic,1.0
Bottled Tornado,relic,1.0
Bronze Scales,relic,1.0
Cables,relic,1.0
Chemical X,relic,1.0
Cursed Key,relic,1.0
Darkstone Periapt,relic,1.0
DataDisk,relic,1.0
Dead Branch,relic,1.0
Du-Vu Doll,relic,1.0
Gambling Chip,relic,1.0
Happy Flower,relic,1.0
Ice Cream,relic,1.0
Juzu Bracelet,relic,1.0
Lantern,relic,1.0
Lee's Waffle,relic,1.0
Matryoshka,relic,1.0
MawBank,relic,1.0
Membership Card,relic,1.0
Molten Egg 2,relic,1.0
Necronomicon,relic,1.0
Nunchaku,relic,1.0
Oddly Smooth Stone,relic,1.0
Orichalcum,relic,1.0
Pantograph,relic,1.0
Pen Nib,relic,1.0
Pocketwatch,relic,1.0
PreservedInsect,relic,1.0
Question Card,relic,1.0
Singing Bowl,relic,1.0
Smiling Mask,relic,1.0
Sozu,relic,1.0
Sundial,relic,1.0
Toxic Egg 2,relic,1.0
Vajra,relic,1.0
Whetstone,relic,1.0
Amplify,card,1.0
AscendersBane,card,1.0
Ball Lightning,card,1.0
Barrage,card,1.0
BootSequence,card,1.0
Capacitor,card,1.0
Consume,card,1.0
Coolheaded,card,1.0
Discovery,card,1.0
Dualcast,card,1.0
Fission,card,1.0
Force Field,card,1.0
Glacier,card,1.0
HandOfGreed,card,1.0
Heatsinks,card,1.0
Hologram,card,1.0
Loop,card,1.0
Necronomicurse,card,1.0
Seek,card,1.0
Self Repair,card,1.0
Storm,card,1.0
Turbo,card,1.0
White Noise,card,1.0
Zap,card,1.0
